true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret,prompt_idx,fixed_val,agent,dataset
0.05,0.008349609375,0.00927734375,0.65,0.11111111111111102,0,0.3,Agent 1,Regular
0.15,0.025970458984375,0.02783203125,0.65,0.07168037602820211,0,0.3,Agent 1,Regular
0.25,0.04435424895200467,0.04638671875,0.65,0.045823564732087985,0,0.3,Agent 1,Regular
0.35,0.06337281818273674,0.06618055265791747,0.95,0.04430502786043975,0,0.3,Agent 1,Regular
0.45,0.083148193359375,0.08629774015791748,0.95,0.037878715956338606,0,0.3,Agent 1,Regular
0.55,0.10314331302986585,0.10641492765791749,0.95,0.03171911519949264,0,0.3,Agent 1,Regular
0.65,0.12060546875,0.12653211515791749,0.95,0.04914077669398789,0,0.3,Agent 1,Regular
0.75,0.1433288562109583,0.14735719318273674,0.35,0.028105554445012306,0,0.3,Agent 1,Regular
0.85,0.166058302762799,0.16835328693273674,0.35,0.013820351838811286,0,0.3,Agent 1,Regular
0.95,0.18688367765791747,0.19035047064942193,0.8,0.01855053921750338,0,0.3,Agent 1,Regular
0.05,0.00771484375,0.009228515625000001,0.8,0.1962025316455697,0,0.5,Agent 1,Regular
0.15,0.024999999999999998,0.027685546874999998,0.8,0.10742187500000001,0,0.5,Agent 1,Regular
0.25,0.044482424272370466,0.046142578125,0.8,0.03732156868214378,0,0.5,Agent 1,Regular
0.35,0.053662109374999996,0.06574708418300057,0.3,0.22520499005264039,0,0.5,Agent 1,Regular
0.45,0.080859375,0.08752442793300058,0.3,0.082427707770442,0,0.5,Agent 1,Regular
0.55,0.10153811597801975,0.10930177168300058,0.3,0.07646050579332644,0,0.5,Agent 1,Regular
0.65,0.11679687500000001,0.1310791154330006,0.3,0.12228272745311546,0,0.5,Agent 1,Regular
0.75,0.1416503778553328,0.15285645918300056,0.3,0.07911084670111156,0,0.5,Agent 1,Regular
0.85,0.1612304681139629,0.17463380293300057,0.3,0.08313152579550752,0,0.5,Agent 1,Regular
0.95,0.18232424042418605,0.19641114668300058,0.3,0.077262936766064,0,0.5,Agent 1,Regular
0.05,0.0081787109375,0.0087890625,0.55,0.07462686567164178,0,0.7,Agent 1,Regular
0.15,0.024169921875,0.0263671875,0.55,0.09090909090909091,0,0.7,Agent 1,Regular
0.25,0.037353515625,0.0439453125,0.55,0.17647058823529413,0,0.7,Agent 1,Regular
0.35,0.058959968129611406,0.06213379016333338,0.2,0.05383011786480242,0,0.7,Agent 1,Regular
0.45,0.0781005859375,0.08117675891333338,0.2,0.03938732262898893,0,0.7,Agent 1,Regular
0.55,0.09667968750000001,0.1002197276633334,0.2,0.03661617300255943,0,0.7,Agent 1,Regular
0.65,0.11518554888096305,0.11926269641333338,0.2,0.03539634591300862,0,0.7,Agent 1,Regular
0.75,0.1351805698311628,0.13830566516333337,0.2,0.02311793282180812,0,0.7,Agent 1,Regular
0.85,0.15476079121127978,0.15734863391333337,0.2,0.016721565467578026,0,0.7,Agent 1,Regular
0.95,0.17448717449560575,0.17639160266333337,0.2,0.010914430663645046,0,0.7,Agent 1,Regular
0.05,0.0077392578125,0.010107421875000001,0.6,0.3059936908517352,1,0.3,Agent 1,Regular
0.15,0.024853515624999996,0.030322265624999997,0.6,0.22003929273084488,1,0.3,Agent 1,Regular
0.25,0.04792480498105557,0.050537109375,0.6,0.05450839904256385,1,0.3,Agent 1,Regular
0.35,0.07077637119942609,0.07214355769644455,0.2,0.01931699059798006,1,0.3,Agent 1,Regular
0.45,0.09345703124999999,0.09626465144644457,0.2,0.030041829479198014,1,0.3,Agent 1,Regular
0.55,0.11403809063438909,0.12038574519644459,0.2,0.05566258192103848,1,0.3,Agent 1,Regular
0.65,0.13586426153087053,0.14450683894644456,0.2,0.06361185287574908,1,0.3,Agent 1,Regular
0.75,0.1562255714064994,0.16862793269644455,0.2,0.07938752393917749,1,0.3,Agent 1,Regular
0.85,0.16103515625,0.19274902644644454,0.2,0.196937556586775,1,0.3,Agent 1,Regular
0.95,0.2019527552178367,0.21687012019644453,0.2,0.07386561754266328,1,0.3,Agent 1,Regular
0.05,0.00859375,0.009375000000000001,0.9,0.09090909090909098,1,0.5,Agent 1,Regular
0.15,0.02080078125,0.028124999999999997,0.9,0.35211267605633784,1,0.5,Agent 1,Regular
0.25,0.03942871607472243,0.046875,0.9,0.1888543342665765,1,0.5,Agent 1,Regular
0.35,0.05861816680235196,0.06562499999999999,0.9,0.11953347536905383,1,0.5,Agent 1,Regular
0.45,0.08115234375,0.08552245702342577,0.85,0.05385073395894099,1,0.5,Agent 1,Regular
0.55,0.10290528669642648,0.10788573827342579,0.85,0.048398403394878824,1,0.5,Agent 1,Regular
0.65,0.12705080121177859,0.13024901952342577,0.85,0.025172752010560982,1,0.5,Agent 1,Regular
0.75,0.15168459409050097,0.15261230077342577,0.85,0.006116024428764956,1,0.5,Agent 1,Regular
0.85,0.17497558202342578,0.17663575092077813,0.7,0.009488003286824814,1,0.5,Agent 1,Regular
0.95,0.19589865957478686,0.20153809467077813,0.7,0.028787512422147745,1,0.5,Agent 1,Regular
0.05,0.007568359375,0.008349609375,0.65,0.103225806451613,1,0.7,Agent 1,Regular
0.15,0.0229736328125,0.025048828125,0.65,0.09032943676939427,1,0.7,Agent 1,Regular
0.25,0.04035644976475944,0.041748046875,0.65,0.03448264449306809,1,0.7,Agent 1,Regular
0.35,0.057983414338426575,0.06037598101475944,0.25,0.04126294913177042,1,0.7,Agent 1,Regular
0.45,0.0791015625,0.08039551226475944,0.25,0.01635808097671192,1,0.7,Agent 1,Regular
0.55,0.10039061389381437,0.10192872683842659,0.35,0.015321282388402526,1,0.7,Agent 1,Regular
0.65,0.108544921875,0.12390138308842658,0.35,0.14147563007241393,1,0.7,Agent 1,Regular
0.75,0.14248068363267546,0.14731448438866793,0.6,0.033926007601523846,1,0.7,Agent 1,Regular
0.85,0.16677235980760696,0.17114260938866793,0.6,0.026204879430276135,1,0.7,Agent 1,Regular
0.95,0.18955127373839054,0.1949707343886679,0.6,0.02859100096450447,1,0.7,Agent 1,Regular
0.05,0.00550537109375,0.01025390625,1.0,0.8625277161862527,2,0.3,Agent 1,Regular
0.15,0.021350097656249997,0.03076171875,1.0,0.44082332761578064,2,0.3,Agent 1,Regular
0.25,0.040319822653120306,0.05126953125,1.0,0.27157134819471507,2,0.3,Agent 1,Regular
0.35,0.06207274845100903,0.07177734375,1.0,0.15634228451556847,2,0.3,Agent 1,Regular
0.45,0.08338623046875,0.09228515625,1.0,0.10671936758893277,2,0.3,Agent 1,Regular
0.55,0.10738523817656417,0.11279296875000001,1.0,0.05035823047246383,2,0.3,Agent 1,Regular
0.65,0.1294555395214526,0.13367919362896274,0.5,0.03262629102720022,2,0.3,Agent 1,Regular
0.75,0.15218514027558666,0.15926513112896273,0.5,0.04652222181847169,2,0.3,Agent 1,Regular
0.85,0.1756224062384104,0.18485106862896272,0.5,0.052548319933757456,2,0.3,Agent 1,Regular
