agent,prompt_idx,fixed_val,true_value,truthful_utility,optimal_utility,optimal_bid,relative_regret
Agent 1,2,0.3,0.1,0.017148437500000006,0.017148437500000006,0.1,0.0
Agent 1,2,0.3,0.2,0.03435546875000001,0.03748046875000001,0.3,0.09096077316657197
Agent 1,2,0.3,0.3,0.06005859375,0.06005859375,0.3,0.0
Agent 1,2,0.3,0.4,0.07933593750000001,0.08263671875,0.3,0.041605120630231356
Agent 1,2,0.3,0.5,0.10138671875,0.105439453125,0.8,0.03997303024465427
Agent 1,2,0.3,0.6,0.12319335937499999,0.129111328125,0.8,0.048038049940547105
Agent 1,2,0.3,0.7,0.144765625,0.15278320312500002,0.8,0.05538316243928769
Agent 1,2,0.3,0.8,0.17645507812500003,0.17645507812500003,0.8,0.0
Agent 1,2,0.3,0.9,0.19787109375,0.200126953125,0.8,0.011400651465798056
Agent 1,2,0.5,0.1,0.014482421875000002,0.015957031250000007,0.2,0.10182063385030377
Agent 1,2,0.5,0.2,0.03347656250000001,0.03347656250000001,0.2,0.0
Agent 1,2,0.5,0.3,0.0475390625,0.052128906249999996,0.65,0.09654889071487255
Agent 1,2,0.5,0.4,0.06031250000000002,0.07527343750000001,0.7,0.24805699481865265
Agent 1,2,0.5,0.5,0.08984375,0.0986328125,0.7,0.09782608695652174
Agent 1,2,0.5,0.6,0.11322265625000001,0.12199218749999999,0.7,0.07745385544247002
Agent 1,2,0.5,0.7,0.14535156249999998,0.14535156249999998,0.7,0.0
Agent 1,2,0.5,0.8,0.15205078125,0.16871093750000002,0.7,0.10956968529222885
Agent 1,2,0.5,0.9,0.18839843750000002,0.1920703125,0.7,0.019489944018245855
Agent 1,2,0.7,0.1,0.011943359375000002,0.017246093749999986,0.35,0.44399018806214086
Agent 1,2,0.7,0.2,0.0279296875,0.03763671874999999,0.35,0.3475524475524472
Agent 1,2,0.7,0.3,0.04738281249999998,0.05802734374999999,0.35,0.22464962901896146
Agent 1,2,0.7,0.4,0.06619140625,0.07841796875,0.35,0.18471525523753313
Agent 1,2,0.7,0.5,0.08328124999999999,0.09880859374999999,0.35,0.18644465290806764
Agent 1,2,0.7,0.6,0.11238281250000001,0.11919921874999999,0.35,0.06065345846367722
Agent 1,2,0.7,0.7,0.13603515625,0.14095703124999998,0.9,0.0361809045226128
Agent 1,2,0.7,0.8,0.1530078125,0.16392578125,0.9,0.07135562930814403
Agent 1,2,0.7,0.9,0.18689453125,0.18689453125,0.9,0.0
Agent 1,3,0.3,0.1,0.013925781249999998,0.016054687500000005,0.25,0.15287517531556852
Agent 1,3,0.3,0.2,0.03458984375,0.039609375,0.25,0.14511575381140598
Agent 1,3,0.3,0.3,0.05595703125,0.0631640625,0.25,0.12879581151832478
Agent 1,3,0.3,0.4,0.08271484375,0.08750000000000002,0.45,0.05785123966942172
Agent 1,3,0.3,0.5,0.10906249999999999,0.11335937500000001,0.45,0.03939828080229244
Agent 1,3,0.3,0.6,0.12990234375,0.14039062500000002,1.0,0.08073973838520529
Agent 1,3,0.3,0.7,0.15822265624999998,0.1683984375,1.0,0.06431304777188011
